2025-06-02 02:32:18.970 | INFO     | __main__:scrape_products:40 - Scraped product 14: MSI Vector A18 HX 18” 240Hz QHD+ Gaming Laptop: AMD Ryzen 9-9955HX, NVIDIA Geforce RTX 5080, 32GB DDR5, 1TB NVMe SSD, Type C, Wi-Fi 7, Win 11 Home: Cosmo Gray A9WIG-065US
2025-06-02 02:32:18.974 | INFO     | __main__:scrape_products:40 - Scraped product 15: Gaming Laptop 16 Inch Laptop Computer, 16GB RAM 512GB SSD, in-tel N95 Processor, 1080P Full HD Display, Backlit Keyboard, Fingerprint, USB3.0,Mini HDMI,Win 11 Laptop for Student Business
2025-06-02 02:32:18.978 | INFO     | __main__:scrape_products:40 - Scraped product 16: MSI Thin A15 15.6” 144Hz FHD Gaming Laptop: Ryzen 5-7535HS, NVIDIA Geforce RTX 2050, 8GB DDR5, 512GB NVMe SSD, Cooler Boost 5, Win 11: Black B7UCX-218US
2025-06-02 02:32:18.979 | WARNING  | amazon_scraper:extract_product_info:51 - Could not find product URL
2025-06-02 02:32:24.273 | INFO     | __main__:scrape_products:29 - Scraping page 2
2025-06-02 02:32:24.297 | WARNING  | amazon_scraper:extract_product_info:51 - Could not find product URL
2025-06-02 02:32:24.298 | WARNING  | amazon_scraper:extract_product_info:51 - Could not find product URL
2025-06-02 02:32:24.303 | INFO     | __main__:scrape_products:40 - Scraped product 17: Acer Predator Triton Neo 16 Gaming Creator Laptop | 16" WQXGA+ 165Hz Calman Verified | AI-Powered | Intel Core Ultra 9 processor 185H | NVIDIA GeForce RTX 4070 | 32GB LPDDR5X | 1TB SSD | PTN16-51-932N
2025-06-02 02:32:24.308 | INFO     | __main__:scrape_products:40 - Scraped product 18: 2025 Gaming Laptop, Laptop Computer with AMD Ryzen 7 5700U (8C/16T, Up to 4.3GHz), 16GB RAM 512GB NVMe SSD, 16.1inch Windows 11 Laptop, Radeon RX Vega 8 Graphics, WiFi 6, Backlit KB, Gray
2025-06-02 02:32:24.314 | INFO     | __main__:scrape_products:40 - Scraped product 19: HP Victus 15.6" 144Hz FHD Gaming Laptop,AMD Ryzen 5 7535HS,16GB DDR5 RAM,512GB SSD,AMD Radeon RX 6550M,Beats RTX 2050,Backlit Keyboard,Windows11 Pro, Mica Silver
