title,images,condition,battery,seller,price,monthly_payment,link
მენიუ 25 ადამიანზე,რესტორანი საბატონი | Restaurant Sabatoni,https://cdn.swoop.ge/ImagesStorage/7bc4a098-719e-4139-85a4-a96f434cde40.jpg,754.00₾,1760.00₾,-57%,გაყიდულია 462,https://swoop.ge/offers/238170/meniu-25-adamianze/kveba/restorani/
3 სახის მენიუ 10-12 ადამიანზე,რესტორანი ხვანჭკარა | Restaurant Khvanchkara,https://cdn.swoop.ge/ImagesStorage/5eb9760a-1bee-40d0-bd37-d536536e7e85.jpg,300.00₾,500.00₾,-40%,გაყიდულია 84,https://swoop.ge/offers/477607/3-saxis-meniu-10-12-adamianze/kveba/restorani/
